Country Name,Country Code,Year,Value
Low income,LIC,2016,4.02524E+11
Nigeria,NGA,2016,4.04653E+11
Thailand,THA,2016,4.07026E+11
"Iran, Islamic Rep.",IRN,2016,4.18977E+11
Small states,SST,2016,4.37804E+11
Belgium,BEL,2016,4.67956E+11
Poland,POL,2016,4.71364E+11
Sweden,SWE,2016,5.1446E+11
Argentina,ARG,2016,5.45476E+11
Saudi Arabia,SAU,2016,6.46438E+11
Switzerland,CHE,2016,6.68851E+11
Netherlands,NLD,2016,7.77228E+11
Turkey,TUR,2016,8.63712E+11
Indonesia,IDN,2016,9.32259E+11
Mexico,MEX,2016,1.04692E+12
Australia,AUS,2016,1.20462E+12
Spain,ESP,2016,1.23726E+12
Russian Federation,RUS,2016,1.28316E+12
"Korea, Rep.",KOR,2016,1.41125E+12
Canada,CAN,2016,1.52976E+12
Brazil,BRA,2016,1.79619E+12
Italy,ITA,2016,1.85891E+12
India,IND,2016,2.26379E+12
France,FRA,2016,2.46545E+12
Arab World,ARB,2016,2.5047E+12
United Kingdom,GBR,2016,2.6479E+12
Germany,DEU,2016,3.4778E+12
Japan,JPN,2016,4.94016E+12
China,CHN,2016,1.11991E+13
United States,USA,2016,1.86245E+13
